timestamp,side,price
1469404942599020,:b,1.09703
1469404942599020,:a,1.09708
1469404942638293,:b,1.09704
1469404942638293,:a,1.09708
1469404942658246,:b,1.09703
1469404942658246,:a,1.09708
1469404942661967,:b,1.09702
1469404942661967,:a,1.09708
1469404942662613,:b,1.09702
1469404942662613,:a,1.09708
1469404942706778,:b,1.09703
1469404942706778,:a,1.09708
1469404942706786,:b,1.09703
1469404942706786,:a,1.09708
1469404942706806,:b,1.09703
1469404942706806,:a,1.09708
1469404942706823,:b,1.09703
1469404942706823,:a,1.09708
1469404942716804,:b,1.09703
1469404942716804,:a,1.09708
1469404942716838,:b,1.09703
1469404942716838,:a,1.09708
1469404942716877,:b,1.09702
1469404942716877,:a,1.09708
1469404942757181,:b,1.09702
1469404942757181,:a,1.09708
1469404942776685,:b,1.09702
1469404942776685,:a,1.09708
1469404942782759,:b,1.09702
1469404942782759,:a,1.09708
1469404943054924,:b,1.09703
1469404943054924,:a,1.09708
1469404943576127,:b,1.09703
1469404943576127,:a,1.09709
1469404943585335,:b,1.09703
1469404943585335,:a,1.09709
1469404943588604,:b,1.09703
1469404943588604,:a,1.09709
1469404943589838,:b,1.09703
1469404943589838,:a,1.09709
1469404943589919,:b,1.09703
1469404943589919,:a,1.09709
1469404943602546,:b,1.09703
1469404943602546,:a,1.09709
1469404943642685,:b,1.09703
1469404943642685,:a,1.09709
1469404943643103,:b,1.09703
1469404943643103,:a,1.09709
1469404943643201,:b,1.09703
1469404943643201,:a,1.09709
1469404943643461,:b,1.09703
1469404943643461,:a,1.09709
1469404943767105,:b,1.09702
1469404943767105,:a,1.09709
1469404943867756,:b,1.09704
1469404943867756,:a,1.09709
1469404943867971,:b,1.09704
1469404943867971,:a,1.09709
1469404943936445,:b,1.09703
1469404943936445,:a,1.09709
1469404943940497,:b,1.09702
1469404943940497,:a,1.09709
1469404944030859,:b,1.09702
1469404944030859,:a,1.09709
1469404944031224,:b,1.09702
1469404944031224,:a,1.09709
1469404944046956,:b,1.09703
1469404944046956,:a,1.09709
